Month,Tweets,Likes,Retweets,Replies,Engagements,Impressions,Follows from tweets,Mentions,Profile Visits,New Followers
October 2016,72,143,113,3,607,26337,2,31,1457,37
September 2016,73,162,108,2,638,34604,1,63,1696,58
August 2016,68,128,66,4,634,19253,1,39,3129,31
July 2016,22,21,16,2,168,10494,0,16,495,21
June 2016,12,5,0,0,18,7238,0,9,190,0
May 2016,25,20,7,1,93,14375,0,14,223,0
April 2016,26,27,22,0,133,18695,0,10,152,0
March 2016,28,24,17,0,116,15793,0,8,218,0
February 2016,32,301,201,5,1690,55286,4,28,414,0
January 2016,30,19,18,0,150,7460,0,19,165,0
December 2015,49,22,22,0,155,10033,0,21,149,0
November 2015,42,24,35,2,186,11566,1,29,278,0
October 2015,67,42,35,4,310,13810,2,58,338,0
